t,x,y,z,qx,qy,qz,qw
1773116702.2040827,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.254085,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.304097,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.3542328,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.4042275,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.4542062,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.5043273,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.554643,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.604063,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.6543105,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.7043781,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.754235,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.8042924,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.854242,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.9043229,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.9542184,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.0041022,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.0548553,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.1042256,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.154243,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.204232,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.2543347,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.3043134,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.35446,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.4040766,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.454566,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.504585,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.5546095,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.6045313,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.6547596,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.7047086,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.7549999,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.8044765,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.8545825,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.9042099,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116703.9541814,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.0046644,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.05426,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.1042402,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.154257,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.2041624,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.254086,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.3045766,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.3541687,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.4042249,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.454419,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.5042257,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.5543814,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.6039832,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.6541262,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.7046845,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.7548218,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.8044147,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.8543234,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.904388,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116704.9542053,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.004248,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.054111,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.1042073,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.1545923,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.2046742,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.2547848,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.3041985,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.3544118,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.40417,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.454066,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.5041304,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.554137,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116705.6041336,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
